name,address,lat,lng,rating,user_ratings,business_status,primary_type,website,phone,google_maps_uri,place_id,found_via
"Philippine International Convention Center","PICC Complex, Pasay City, Metro Manila, Philippines","14.554498299999997","120.98303319999998","4.6","8024","OPERATIONAL","convention_center","https://picc.gov.ph/","(02) 8789 4789","https://maps.google.com/?cid=16054976734528112743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ4XE4W9nLlzMRZ4i18ka8zt4","events place @ Pasay, Metro Manila"
"Henann Resort Alona Beach, Bohol","Alona Beach Rd, Panglao, 6340 Bohol, Philippines","9.5506878","123.77439799999999","4.5","7289","OPERATIONAL","resort_hotel","https://www.henann.com/bohol/henannalonabeach/","(038) 412 9060","https://maps.google.com/?cid=18330235760474121190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJGbB5VqKsqzMR5uM4cE4UYv4","wedding venue @ Panglao, Bohol | events place @ Panglao, Bohol"
"World Trade Center Metro Manila","2/F WTCMM Building, Diosdado Macapagal Blvd, corner Sen. Gil J. Puyat Ave, Pasay City, 1300 Metro Manila, Philippines","14.551021899999999","120.98721259999999","4.4","7272","OPERATIONAL","event_venue","http://www.wtcmanila.com.ph/","(02) 8982 0000","https://maps.google.com/?cid=2351943979722632297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJVWu6fd_LlzMRaWz8opbIoyA","events place @ Pasay, Metro Manila"
"Waterfront Cebu City Hotel & Casino","Salinas Dr, Lahug, Cebu City, 6000 Cebu, Philippines","10.3247129","123.9047135","4.3","7026","OPERATIONAL","hotel","http://www.waterfronthotels.com.ph/","(032) 232 6888","https://maps.google.com/?cid=14516703630822820520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ8YGNzzyZqTMRqErRGAqxdck","wedding venue @ Cebu City, Cebu"
"Quest Hotel and Conference Center - Cebu","Archbishop Reyes Ave, Cebu City, 6000 Cebu, Philippines","10.3193763","123.90305300000001","4.5","6954","OPERATIONAL","hotel","https://www.questhotelsandresorts.com/cebu/","(032) 230 5888","https://maps.google.com/?cid=8012038630996504621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJm4OrCxSfqTMRLfBAb696MG8","events place @ Cebu City, Cebu"
"Valenzuela City People's Park","MacArthur Hwy, Valenzuela, Metro Manila, Philippines","14.692136999999999","120.9701636","4.6","5783","OPERATIONAL","park",,"(02) 8294 4216","https://maps.google.com/?cid=9251433082367557347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ0R4-1wu0lzMR477QSV-xY4A","events place @ Valenzuela, Metro Manila"
"The Venue by Vikings","GXRH+HVF, Seaside Blvd, Pasay City, 1300 Metro Manila, Philippines","14.541437499999999","120.97968750000001","4.9","5536","OPERATIONAL","event_venue",,"0917 548 4888","https://maps.google.com/?cid=4932633203443960503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ83oAcUrLlzMRtwqTqsM7dEQ","wedding venue @ Manila City, Metro Manila | events place @ Manila City, Metro Manila | wedding reception venue @ Manila City, Metro Manila | wedding venue @ Pasay, Metro Manila | events place @ Pasay, Metro Manila | wedding reception venue @ Pasay, Metro Manila"
"The Ruins","Talisay, Negros Occidental, Philippines","10.709276899999999","122.98256570000001","4.5","5359","OPERATIONAL","tourist_attraction","http://theruins.com.ph/","0905 513 3347","https://maps.google.com/?cid=5157331689050285103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ4Umq1lDRrjMRLyS1stiFkkc","wedding venue @ Bacolod City, Negros Occidental | events place @ Bacolod City, Negros Occidental | wedding reception venue @ Bacolod City, Negros Occidental"
"La Parisienne Cebu","371 Gorordo Ave, Cebu City, 6000 Cebu, Philippines","10.3262134","123.8981652","4.3","5264","OPERATIONAL","european_restaurant","http://lavielifestyle.ph/","0999 885 4318","https://maps.google.com/?cid=7187646701021494392&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJaejjSiWZqTMRePxkwZemv2M","wedding venue @ Cebu City, Cebu"
"Alona Beach","GQXC+7W2, Alona Beach Rd, Panglao, Bohol, Philippines","9.5481436","123.7722784","4.2","5200","OPERATIONAL","tourist_attraction","https://www.infobohol.com/?s=alona+beach",,"https://maps.google.com/?cid=17706873645350309790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJpXDEoKOsqzMRns_U8cNzu_U","events place @ Panglao, Bohol"
"Clark Parade Grounds","Special .b, Economic Zone, Clark Avenue, Clark Freeport, Angeles, Pampanga, Philippines","15.181079599999999","120.5243087","4.6","4881","OPERATIONAL","park",,,"https://maps.google.com/?cid=5204411696254630919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJqdED0auSljMRBzwlFN3IOUg","events place @ Clark Freeport Zone, Pampanga"
"Robinsons Place Iloilo","Corner De Leon, Quezon St, Iloilo City Proper, Iloilo City, Iloilo, Philippines","10.6941504","122.5662128","4.3","4701","OPERATIONAL","shopping_mall","https://robinsonsmalls.com/mall-info/robinsons-place-iloilo","(033) 336 3852","https://maps.google.com/?cid=10622197185568932536&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJvb-3KWTlrjMRuIL9uw-gaZM","events place @ Iloilo City, Iloilo"
"Bohol Bee Farm","Dao, Dauis, Bohol, Philippines","9.575738","123.8271114","4.4","4339","OPERATIONAL","restaurant","http://boholbeefarm.com/","0917 304 1491","https://maps.google.com/?cid=4557354415432807968&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ_____9xSqjMRIDZu57H5Pj8","events place @ Panglao, Bohol"
"John Hay Hotels Garden Wing (formerly The Manor at Camp John Hay)","Ordonio Dr, Camp John Hay, Baguio, 2600 Benguet, Philippines","16.4006765","120.6176382","4.6","4207","OPERATIONAL","resort_hotel","https://www.campjohnhayhotels.com/","0939 986 4120","https://maps.google.com/?cid=4892962458356242751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJndobjtWmkTMRP1mljW5L50M","wedding venue @ Baguio City, Benguet"
"Canyon Cove Hotel & Spa","Far East Road, Piloto, Wawa, Nasugbu, 4231 Batangas, Philippines","14.092297199999999","120.6218765","3.8","4065","OPERATIONAL","resort_hotel",,"(02) 8892 9827","https://maps.google.com/?cid=11431465308299933455&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJO7a4zlmRvTMRDzdroyG5pJ4","wedding venue @ Calatagan, Batangas"
"Oceanica Resort Panglao, Bohol","Brgy, HQ2X+W9W, Bolod, Panglao, 6340 Bohol, Philippines","9.552536","123.79830559999999","4.5","3860","OPERATIONAL","resort_hotel","https://oceanicaresortpanglao.com/","0917 716 7609","https://maps.google.com/?cid=16629798456149698731&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ118VckxTqjMRq2gkYZbpyOY","wedding venue @ Panglao, Bohol | events place @ Panglao, Bohol | wedding reception venue @ Panglao, Bohol"
"Hard Rock Cafe Manila","Level 2, S Maison, Conrad Manila, Seaside Boulevard, 1300 Coral Way, Pasay City, Metro Manila, Philippines","14.532693899999998","120.9802457","4.8","3811","OPERATIONAL","bar","http://www.hardrock.com/cafes/manila","(02) 8990 9809","https://maps.google.com/?cid=8805314143646767473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJU2O2yXvLlzMRcdnJo4_CMno","events place @ Pasay, Metro Manila"
"Sirao Garden","Cebu City, 6000 Cebu, Philippines","10.406157799999999","123.86584160000001","4.3","3710","OPERATIONAL","tourist_attraction","https://www.facebook.com/siraogarden/","0928 656 6128","https://maps.google.com/?cid=6526454421455249265&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJH7-Frg-hqTMRcR-eubefklo","garden events venue @ Cebu City, Cebu"
"Festive Walk Mall","Megaworld Blvd, Mandurriao, Iloilo City, Iloilo, Philippines","10.7177686","122.5469767","4.5","3704","OPERATIONAL","shopping_mall","https://megaworld-lifestylemalls.com/malls/festive-walk-mall-iloilo","(033) 517 5782","https://maps.google.com/?cid=3926416284774390576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJG6YBSTDlrjMRMFtJ1s5ufTY","events place @ Iloilo City, Iloilo"
"Guevarra's","387 P. Guevarra St, cor Argonne, San Juan City, 1500 Metro Manila, Philippines","14.593402799999998","121.03378260000001","4.5","3597","OPERATIONAL","restaurant","http://guevarras.com/","0917 311 2222","https://maps.google.com/?cid=12573520632552590820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ1zSHelXJlzMR5I1X32Uefq4","events place @ San Juan, Metro Manila"
"Jaro Plaza","Plaza Rizal St, Jaro, Iloilo City, 5000 Iloilo, Philippines","10.724443899999999","122.5573453","4.4","3589","OPERATIONAL","city_park",,,"https://maps.google.com/?cid=17761339963775749206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ9b-BqiHlrjMRVozN65f0fPY","events place @ Iloilo City, Iloilo"
"Shercon Resort","X3VX+QPR, Mataas Na Kahoy, Batangas, Philippines","13.9944767","121.09925630000001","4.5","3368","OPERATIONAL","resort_hotel","https://www.sherconresort.net/inquire.html","0917 506 1204","https://maps.google.com/?cid=9964259079747045590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJoYQX15RtvTMR1ohIEtcoSIo","wedding venue @ Lipa, Batangas"
"Heritage Hill and Nature Park Garden (Old Diplomat Hotel)","Dominican Hill, CH3P+HM2, Diplomat Rd, Baguio, 2600 Benguet, Philippines","16.4038789","120.58665359999999","4.4","3361","OPERATIONAL","historical_place",,,"https://maps.google.com/?cid=12130378487768032484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJg-YHS22hkTMR5CR0EvfCV6g","events place @ Baguio City, Benguet"
"Vivere Hotel","Filinvest City, 5102 Bridgeway Ave, Alabang, Muntinlupa, 1781 Metro Manila, Philippines","14.419972399999999","121.03933309999998","4.6","3341","OPERATIONAL","hotel","http://www.viverehotel.com.ph/","(02) 8771 7777","https://maps.google.com/?cid=10545260407447687851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ59OOnzbQlzMRqxLpKXhKWJI","wedding venue @ Muntinlupa, Metro Manila"
"The Bellevue Resort","Island, Panglao, Bohol, Philippines","9.5878174","123.73086450000001","4.6","3275","OPERATIONAL","resort_hotel","http://www.thebellevuebohol.com/",,"https://maps.google.com/?cid=15274643818332891214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJpZ355spSqjMRTihZzp9v-tM","wedding venue @ Panglao, Bohol | events place @ Panglao, Bohol | wedding reception venue @ Panglao, Bohol"
"Maayo Hotel","168 Plaridel St, Alang-alang, Mandaue, 6014 Cebu, Philippines","10.3381384","123.95402990000001","4.5","3268","OPERATIONAL","hotel","https://www.maayoleisuregroup.com/","(032) 517 0200","https://maps.google.com/?cid=9170527574509838470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ31-S8zeYqTMRhmCV0T1CRH8","wedding venue @ Mandaue City, Cebu | wedding reception venue @ Mandaue City, Cebu"
"Shangri-La Boracay","Boracay Island, Malay, 5608 Aklan, Philippines","11.987424899999999","121.90622880000001","4.7","3174","OPERATIONAL","resort_hotel","http://www.shangri-la.com/boracay/boracayresort/","(036) 288 4988","https://maps.google.com/?cid=15919298013311292389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJwRGQ-3k8pTMR5VMA9TK17Nw","wedding venue @ Boracay, Malay, Aklan | wedding reception venue @ Boracay, Malay, Aklan | garden events venue @ Boracay, Malay, Aklan"
"Buhay Isla Ecotour - El Nido","Sitio Lugadia Highway, El Nido, 5313 Palawan, Philippines","11.1624448","119.3988068","5","3087","OPERATIONAL",,"https://www.buhayisla.com/","0939 936 2095","https://maps.google.com/?cid=17511120739583873666&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJbSrwljQAtzMRglLf5Yj_A_M","events place @ El Nido, Palawan"
"Henann Regency Resort & Spa","Beachfront, Station 2, XW5G+5M8 Balabag Boracay Islan Boracay, White Beach Path, Malay, 5608 Aklan, Philippines","11.95913","121.927131","4.3","3051","OPERATIONAL","resort_hotel","https://henann.com/boracay/henannregency/","(036) 288 6111","https://maps.google.com/?cid=6169273956712871258&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ63ncmiE8pTMRWnXwN_qpnVU","wedding reception venue @ Boracay, Malay, Aklan | garden events venue @ Boracay, Malay, Aklan"
"Happiness Beach Bar","Serena St, Buena Suerte Pob. (Barangay 2), El Nido, Palawan, Philippines","11.18018","119.38833650000001","4.7","2953","OPERATIONAL","restaurant","https://www.happinessphilippines.com/","0927 419 5288","https://maps.google.com/?cid=773424561339973898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJpTuu_J5VtjMRCkE7b4rBuwo","events place @ El Nido, Palawan"
"Fairways & Bluewater Boracay","Barangay Balabag and Yapak, Boracay Island, Malay, Aklan, Philippines","11.9790809","121.92112909999999","4.2","2946","OPERATIONAL","resort_hotel","https://fairwaysandbluewater.com/","0917 823 5975","https://maps.google.com/?cid=12606064025055670479&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJE09jNGg8pTMRzzBG5XC88a4","wedding venue @ Boracay, Malay, Aklan | wedding reception venue @ Boracay, Malay, Aklan | garden events venue @ Boracay, Malay, Aklan"
"Catering Trio: Events Venue, Catering & Food Trays","Roof Deck, Prestige Tower F. Ortigas Jr. (Entrance, Parking, Garnet Rd, Ortigas Center, Pasig, 1605 Metro Manila, Philippines","14.5858042","121.06208840000001","4.9","2944","OPERATIONAL","event_venue","https://www.cateringtrio.com/","0956 648 1152","https://maps.google.com/?cid=13721341521198353882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJW7-H_xnIlzMR2o3YLGr_a74","wedding venue @ Pasig, Metro Manila | events place @ Pasig, Metro Manila | wedding reception venue @ Pasig, Metro Manila | events place @ San Juan, Metro Manila | wedding reception venue @ San Juan, Metro Manila | wedding venue @ Mandaluyong, Metro Manila | events place @ Mandaluyong, Metro Manila | wedding reception venue @ Mandaluyong, Metro Manila"
"Baguio Country Club","Country Club Rd, Baguio, 2600 Benguet, Philippines","16.4081901","120.61731309999999","4.5","2838","OPERATIONAL","resort_hotel","https://thebaguiocountryclub.com/","(074) 619 2050","https://maps.google.com/?cid=2470485884531723734&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJz8rv_lKhkTMR1k0hotLtSCI","wedding venue @ Baguio City, Benguet | events place @ Baguio City, Benguet | wedding reception venue @ Baguio City, Benguet"
"The Bellevue Manila","Filinvest City, 5139 N Bridgeway, Alabang, Muntinlupa, 1781 Metro Manila, Philippines","14.4240678","121.03965310000001","4.4","2809","OPERATIONAL","hotel","http://www.thebellevuemanila.com/?utm_source=GooglePlusLocal&utm_medium=Social&utm_campaign=GooglePlusInitiative","(02) 8771 8181","https://maps.google.com/?cid=3394183250477412198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJj3OZgTHQlzMRZm9J466PGi8","wedding venue @ Muntinlupa, Metro Manila"
"Epic Boracay","Beachfront, D'Mall of Boracay Boracay Island, Malay, 5608 Aklan, Philippines","11.9614236","121.9247587","4.2","2770","OPERATIONAL","restaurant",,"0917 130 2619","https://maps.google.com/?cid=8925661095225121382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJb5hQmyI8pTMRZtpq1nlR3ns","events place @ Boracay, Malay, Aklan"
"Gerry's Harbor Point (Gerry's Grill)","305 Harbor Point Subic Bay Freeport Zone Olongapo, Subic Bay Freeport Zone, 2200 Zambales, Philippines","14.824815099999999","120.2805662","4.9","2753","OPERATIONAL","filipino_restaurant","http://www.gerrysgrill.com/","0998 846 7611","https://maps.google.com/?cid=4239125893287837338&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ9akO5xBxljMRmv6UQ4pm1Do","events place @ Subic Bay Freeport Zone, Zambales"
"PICC Plenary Hall","HX4M+587, Pasay City, 1300 Metro Manila, Philippines","14.555406399999997","120.98329620000001","4.7","2736","OPERATIONAL","event_venue","https://picc.gov.ph/experience-picc/plenary-hall/",,"https://maps.google.com/?cid=11554458642254279794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJaVWwctnLlzMRcjSCv-quWaA","events place @ Pasay, Metro Manila"
"Tam-awan Village","366-C Long Long Benguet Rd, Baguio, 2600 Benguet, Philippines","16.4296517","120.5763849","4.3","2711","OPERATIONAL",,"https://www.tamawanvillage.com/","(074) 446 2949","https://maps.google.com/?cid=4012496533647302319&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJP0aG-tSjkTMRr56IllZArzc","events place @ Baguio City, Benguet"
"Flotsam & Jetsam Hostel","M86F+PV2, MacArthur Hwy, San Juan, La Union, Philippines","16.661877699999998","120.3243665","4.1","2706","OPERATIONAL","hostel","http://flotsamandjetsamhostel.com/","0917 802 1328","https://maps.google.com/?cid=2893977222787846112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ0w9AKpSNkTMR4E9XgPN4KSg","events place @ San Juan, La Union | garden events venue @ San Juan, La Union"
"Mövenpick Resort & Spa Boracay","Punta Bunga Rd, Boracay, Malay, 5608 Aklan, Philippines","11.9841135","121.90868210000001","4.4","2690","OPERATIONAL","resort_hotel","https://movenpick.accor.com/en/asia/philippines/boracay/resort-spa-boracay.html?merchantid=seo-maps-PH-B4P1&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&utm_content=Boracay","(036) 288 2256","https://maps.google.com/?cid=7855975386548881987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJC3WJH3E8pTMRQ0p1x_0HBm0","wedding venue @ Boracay, Malay, Aklan | wedding reception venue @ Boracay, Malay, Aklan"
"SMX Convention Center Davao","3rd Level, SM Lanang Premier Davao del Sur PH, J.P. Laurel Ave, Lanang, Davao City, 8000 Davao del Sur, Philippines","7.0988115999999994","125.63024130000001","4.5","2615","OPERATIONAL","convention_center","https://www.smxconventioncenter.com/smx-davao/","(082) 285 1045","https://maps.google.com/?cid=1184401413708181611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJcd5e7Uls-TIRa_CLf8_WbxA","wedding venue @ Davao City, Davao del Sur | events place @ Davao City, Davao del Sur | wedding reception venue @ Davao City, Davao del Sur"
